"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","3","2","3","3","2","4","3","3","5","4","3","4","1","2","3","5","4","4","5","2","5","3","4","2","3","1","3","4","2","1","5","5","5","1","5","3","1","1","5","5","1","5","1","5","1","5","5","5","5","2687","2346","1784","1696","2620","3288","4442","1717","2269","2400","2625","2042","1803","1811","3687","3546","3794","2054","2436","1419","3166","1156","2215","2530","2227","2206","3157","2755","2225","1288","2207","1318","1459","3266","1198","2397","2320","1952","1968","1832","1870","2105","1118","1928","1606","1197","964","1434","1858","1193","2016-03-03 02:08:17","1440","900","6","110","7","1","UA","50.4333","30.5167"
"3","1","5","3","5","1","5","5","5","3","5","1","3","1","5","5","5","5","5","3","2","5","5","3","3","5","3","5","5","5","5","5","5","3","5","5","5","3","3","5","4","1","5","1","5","3","1","5","5","5","6263","4876","2547","5647","2164","4082","7001","2887","3788","3096","1846","3158","2714","2534","2748","2626","1066","1540","2926","4443","6023","2228","2127","2787","2966","2324","1737","4332","2904","2558","3350","2452","2752","3404","5316","6112","5070","2700","1996","3688","5122","7515","4332","2306","1722","2294","3889","2332","2590","1624","2016-03-03 02:08:52","1280","720","10","172","8","1","PH","14.5833","120.9667"
"4","1","5","4","5","1","4","1","5","2","1","5","1","2","1","1","5","4","1","5","1","5","2","5","1","4","1","5","5","5","2","4","5","4","2","3","1","4","1","2","5","1","5","1","4","1","5","5","5","5","16824","3363","3985","4895","4005","9861","5646","4559","12550","10819","11723","4571","16338","5432","6640","4814","12849","8155","12604","11423","10246","4074","26903","5067","6245","6648","5851","7050","4217","21209","4974","7185","8223","6640","6144","8964","16574","56462","3923","17173","10268","5289","2288","5150","5392","4426","5185","5963","6688","1265","2016-03-03 02:10:44","320","480","128","459","8","1","FR","48.8539","2.604"
"1","5","1","5","1","5","1","5","1","5","5","1","5","1","4","5","3","3","4","5","2","2","2","3","3","3","3","0","3","1","3","2","5","3","4","1","5","3","4","3","5","1","4","1","2","2","4","5","5","3","3853","1619","1435","918","917","2269","1734","1252","1436","700","1436","1903","934","1299","2153","1703","2553","3236","2037","750","9794","6174","5706","5622","2253","1652","5290","0","5106","2620","1768","2669","1819","12967","1401","1785","1535","2736","1484","3520","1434","1768","2069","1869","1418","2736","1618","1335","1434","1718","2016-03-03 02:10:50","1920","1080","2","129","5","1","GB","53.8","-1.5833"
"1","5","2","5","1","4","1","2","2","5","4","3","5","1","4","4","4","2","4","5","2","5","4","5","1","5","2","4","5","5","4","4","2","4","2","3","4","1","4","5","5","4","5","5","4","1","4","4","5","5","2174","1728","1736","1765","3279","2548","2378","3808","2443","1035","2744","1687","1380","1342","1964","1885","3470","1135","2212","1916","4808","1508","2594","399","1392","1408","3313","2881","2362","1351","2010","1665","4328","1931","2611","4129","3183","2177","2700","1418","1012","6052","2133","3744","2075","2230","2587","3350","3743","636","2016-03-03 02:11:06","1920","1080","6","120","8","1","AU","-37.9333","145.2333"
"2","1","3","4","4","3","5","3","3","5","4","2","3","3","3","4","3","3","5","5","5","5","5","5","2","3","3","3","4","5","3","3","4","4","4","2","3","3","4","5","5","2","5","3","4","1","3","3","5","5","305890","3696","4296","5952","2760","3992","5040","3761","5120","3336","3503","4960","3288","91526","3400","3056","2487","2352","2456","1448","4328","1704","3688","3296","5007","3408","3239","3535","3088","2720","6696","5280","3088","2816","7680","6464","3329","30719","3616","6568","3984","8776","25911","5064","2376","5320","5664","3488","4424","1847","2016-03-03 02:11:53","1366","768","9","641","19","1","IN","20.0","77.0"
"1","4","2","4","2","3","2","4","2","4","4","3","4","2","4","4","3","3","4","4","2","3","3","3","3","4","3","4","4","3","2","2","3","3","2","4","3","2","2","3","4","2","4","3","4","2","4","3","4","4","2923","2463","1752","2353","1480","2904","3400","3784","2513","1423","3249","2647","2528","5695","1592","2712","2520","1840","1551","1463","4253","1992","3304","2055","2184","16888","1777","2528","2599","1782","2511","4640","1320","1969","2088","3200","1623","15848","2139","14107","3505","2601","1455","1025","2624","3432","1992","6928","2977","2056","2016-03-03 02:14:11","1920","1080","6","169","11","1","CA","47.4596","-69.7547"
"4","1","5","2","4","2","3","2","4","2","1","4","3","5","3","2","3","2","2","1","4","5","1","5","2","4","2","4","4","4","3","3","4","4","2","3","4","3","2","3","3","3","4","3","3","4","3","2","2","3","36633","3006","3892","2926","2420","5788","6562","2322","2352","7026","5072","7634","2846","1880","59526","11156","2290","5422","3792","1376","3207","2088","1941","6070","5780","6610","3096","11300","2038","15258","3828","3692","3733","6776","5674","33732","11744","20568","4190","18418","3368","4022","5967","7068","2790","3022","9024","3982","1716","1988","2016-03-03 02:14:27","1536","864","229","388","26","6","NL","51.9225","4.4792"
"4","2","5","3","4","4","5","2","5","2","2","5","4","4","3","4","2","1","1","1","1","5","1","5","1","5","1","5","5","4","0","3","5","3","1","5","3","2","1","2","4","1","5","1","3","5","4","2","5","3","15771","7379","53546","4563","3381","10248","3100","4623","5820","5583","9215","2783","3997","141423","4690","4703","7147","3549","3452","4284","2422","4034","2848","2086","3998","2654","39228","2986","3366","98375","0","9418","3053","5168","4533","5996","2655","10151","4852","3984","7751","3217","2702","3998","3162","25811","12275","12978","4282","2950","2016-03-03 02:16:17","1280","768","15","592","39","1","ZA","-29.0","24.0"
"5","1","5","2","5","1","5","3","5","4","4","1","4","2","4","4","4","4","5","4","3","3","4","3","2","5","1","4","4","4","4","1","5","1","5","5","5","1","5","5","4","5","3","5","4","3","5","4","2","3","3721","5472","2457","5191","2735","1960","2392","3584","2007","1616","2264","4408","1632","2392","2768","1575","2432","3063","688","2991","3950","1488","2063","2073","3328","1936","2232","2872","2033","1680","2120","3816","3032","2504","1968","2504","1320","4184","3159","3000","1423","3151","1744","3128","1504","1976","1880","1769","3568","1137","2016-03-03 02:17:05","1829","1029","5","130","10","1","HK","22.3167","114.2167"
"3","3","2","3","4","3","1","5","1","2","5","1","5","1","3","3","4","3","5","4","2","4","4","4","2","4","3","3","4","3","4","3","4","2","3","2","4","2","3","4","3","2","4","3","3","2","3","3","4","3","5929","7401","3322","5263","2361","2215","4464","3768","3104","4241","4368","3032","3456","3208","2857","4167","2123","2904","2424","2152","10291","2839","5063","3153","3831","6472","3537","4864","3760","2743","5588","11895","1775","2744","2947","2249","3023","3008","2432","2817","7000","2928","2328","3565","2655","4136","2077","1856","4327","2207","2016-03-03 02:19:29","1280","800","14","193","10","1","GB","51.5","-0.13"
"3","2","2","4","4","4","5","3","1","3","3","3","4","4","3","3","5","4","3","4","1","5","1","4","5","3","2","3","4","2","3","3","2","2","2","2","4","3","2","2","3","4","3","2","2","5","3","2","1","2","4531","7268","8539","8341","5960","10018","7010","6776","5771","8411","4333","5324","4476","5918","5290","2687","3592","6369","2855","5311","18241","5808","5324","7424","7624","4529","6419","16404","5451","5441","10968","5064","3698","5150","7550","6159","3651","6258","4131","9393","2613","4145","3856","4080","3495","7096","3945","4079","3782","3324","2016-03-03 02:22:02","1366","768","8","305","17","1","US","34.1073","-118.3719"
"1","4","3","4","2","3","2","5","2","5","3","4","4","3","2","3","2","2","2","1","1","4","1","5","2","4","2","5","4","3","4","1","4","1","2","2","4","2","3","3","2","2","3","2","3","3","3","1","5","3","4514","2283","2899","1550","3529","851","3598","2452","2193","3293","2350","2622","2047","2334","3777","2480","2349","2234","4871","1545","2096","1163","1682","1563","2634","1769","2268","5077","3774","3266","5612","6909","2099","2683","1518","3699","1766","2552","2540","2577","14445","2883","2301","3950","2004","4918","4381","3716","1088","1125","2016-03-03 02:22:12","1280","1024","14","161","22","1","GB","51.4629","-2.5589"
"3","4","4","3","3","4","2","2","0","5","5","4","5","1","4","1","1","1","1","1","1","5","1","4","1","5","1","4","4","4","1","4","5","1","5","5","5","3","3","5","5","4","5","4","5","1","5","4","5","4","25037","14300","10632","11616","16800","7100","13751","19083","0","7900","10434","3367","5201","8284","8054","15117","6900","8350","5267","5418","1184","13532","8952","6434","5200","14333","6348","1334","7567","7615","11950","8350","5916","8366","8196","9316","6734","10150","7083","12184","6949","7401","5300","9116","5084","6884","6250","8266","7517","5666","2016-03-03 02:22:24","320","568","31","435","19","1","BR","-23.5475","-46.6361"
"1","5","1","4","1","5","1","5","1","5","5","1","5","1","4","5","3","2","5","5","1","3","2","4","2","3","2","4","5","2","4","2","5","4","2","2","3","2","2","3","4","2","4","3","2","3","5","4","5","2","9121","5466","3049","6298","2700","3265","2632","3485","3102","786","4732","3484","3782","4214","5336","2600","800","4933","6695","2748","4766","2967","3550","3966","1551","850","3431","8415","2669","6431","3834","3600","3403","4705","6498","8035","3502","3550","1169","4299","3717","4834","3215","4367","3031","4185","5734","3680","2883","2286","2016-03-03 02:22:56","320","568","11","211","34","1","AU","-27.0","133.0"
"2","2","3","5","5","3","5","5","4","5","4","4","5","2","2","4","5","3","3","4","2","5","5","5","2","5","1","5","5","4","2","4","3","4","1","3","3","4","5","2","3","5","4","4","3","3","5","2","5","3","11359","5374","8364","3595","3371","3433","3646","5400","4161","3744","3741","3850","3221","1226","9281","5463","3017","3899","2936","2940","5035","3683","2962","3343","7189","3396","6950","3995","3045","3431","3798","5111","3852","3474","1388","4997","1492","6226","2501","5108","4355","3225","3668","10590","4343","5044","3362","3582","3558","3780","2016-03-03 02:23:08","360","640","22","220","16","1","CA","42.3997","-82.1996"
"4","1","5","3","5","1","5","5","5","1","5","2","3","2","3","1","3","1","4","2","1","5","1","5","1","5","1","5","5","5","3","1","4","1","2","1","3","1","5","5","4","1","5","1","3","1","5","1","5","4","6901","8463","4904","29156","1752","2463","3070","2623","2349","2360","2681","3147","4322","727428","4601","2351","5420","1804","2742","2528","2512","11541","3244","3905","2558","2679","3114","2257","3012","3189","2916","1569","2730","2431","5644","4467","3781","7447","2488","2184","3178","4648","14212","4632","1630","3041","2794","3173","3209","2638","2016-03-03 02:23:23","1600","1200","24","940","8","3","GB","51.5","-0.13"
"1","3","1","5","1","4","1","5","1","5","3","2","4","5","3","2","1","1","3","1","5","4","3","3","4","3","2","1","2","2","4","4","3","2","3","4","3","2","2","3","4","3","5","3","4","1","4","4","4","5","2313","4171","3011","2116","2258","3731","10906","2279","2767","2502","3347","3810","1624","2869","6045","5385","3002","3549","6171","1371","4986","3003","4022","5418","2775","4110","3444","4345","1614","8727","2862","3113","3731","2854","3301","8311","12554","2352","3410","1944","1498","3779","1631","6313","1851","1842","3647","2173","2617","2132","2016-03-03 02:26:37","1366","768","4","189","5","1","AU","-31.6448","152.7946"
"2","2","3","5","3","3","1","4","1","3","5","3","5","1","1","5","3","3","5","4","2","4","2","4","2","4","1","5","3","3","3","5","3","4","1","4","4","3","4","3","3","4","4","3","3","1","3","3","4","3","2607","1955","2164","1408","3145","2024","2152","2100","1424","1880","1219","3324","1452","1476","2884","1536","1912","1256","1512","948","4251","1268","1356","1484","1831","1804","2892","2419","2364","1516","2172","2876","2672","2384","2724","1532","931","3356","1444","1640","2216","1856","1732","1735","1092","1732","1861","1540","1484","1184","2016-03-03 02:27:49","1920","1080","275","99","4","1","GB","51.5","-0.13"
"2","4","4","2","3","3","3","3","3","3","5","3","5","2","5","5","4","4","4","4","1","4","1","5","2","5","1","3","4","3","4","1","3","2","5","1","5","2","4","3","5","2","5","2","4","1","3","4","5","3","6552","2912","1360","2368","1912","2816","1808","1350","2848","1584","1135","4594","1336","1752","2119","1474","1579","2112","1255","1336","1341","1208","2280","1640","1743","1344","2102","1792","1904","2072","1608","1712","1672","2752","1744","2984","1837","1544","1464","2536","1351","2350","2112","1752","1400","1744","1730","1640","1872","2016","2016-03-03 02:28:06","2560","1440","7","101","8","1","GB","51.5833","-3.2167"
"2","4","5","4","4","1","5","4","4","3","3","4","5","5","2","2","2","1","1","1","5","5","1","5","2","4","1","5","5","4","4","1","4","1","5","1","5","3","1","5","5","3","3","3","3","4","4","4","5","5","66291","7639","11751","7917","8821","13492","11075","15802","26925","7881","8704","6311","5567","17017","11011","12379","7126","6060","4489","3995","6227","7262","5414","10026","25401","12106","7362","8470","3740","18925","8393","5943","22055","13174","9951","10202","16399","11272","5144","18321","9536","9592","11259","17958","12457","5293","5703","4796","15361","6056","2016-03-03 02:30:46","1366","768","5","586","14","1","SE","58.3013","14.2878"
"2","4","2","4","3","4","2","5","2","4","5","3","5","2","4","4","4","2","4","4","1","4","1","5","2","4","2","4","4","3","4","2","4","2","5","1","5","2","5","4","4","2","5","3","3","2","3","2","4","3","7476","2291","3055","3252","5151","2201","4907","3093","1028","6672","2851","4240","3943","1911","3049","4947","3544","1751","3599","4343","5573","3062","3135","1219","3834","1171","1703","3307","4517","3352","3357","6901","5467","2760","3213","44893","3548","3022","7027","4723","2457","3591","6771","1965","2188","3446","12886","2729","4261","2500","2016-03-03 02:31:31","360","640","7","234","6","1","CH","46.0083","8.9495"
"3","2","4","2","2","3","3","2","4","4","1","5","1","5","3","1","2","1","3","1","2","4","1","4","2","4","2","4","4","4","4","5","3","1","1","4","1","1","1","3","4","2","4","2","5","1","4","1","4","5","9135","4053","3881","3885","12883","3619","4586","4525","5217","5029","6248","12136","3954","4666","10503","3767","10494","3834","3785","2450","4200","5283","3862","12300","5451","5198","6020","8120","4833","4307","20369","3433","4949","6319","8783","8118","5868","3997","7567","5748","2666","3656","4064","10135","3115","6601","3226","6435","7599","2127","2016-03-03 02:33:42","768","1024","33","305","8","2","FR","44.737","2.1233"
"3","4","3","2","5","4","2","4","4","4","5","2","4","2","5","5","5","5","5","4","2","4","3","3","3","4","2","3","4","3","2","2","5","3","1","4","4","5","1","2","2","2","4","2","4","2","5","3","4","4","11793","4232","4272","4199","1503","3344","5761","5943","3823","2751","5857","4867","2560","32973","4352","2065","1968","15395","1864","2740","6201","2344","3408","4169","5200","2120","5794","6497","2800","4193","2663","17752","2832","4711","7760","5263","3609","34713","2768","7248","3320","4344","3600","8431","3017","5751","4535","3576","4992","2020","2016-03-03 02:33:52","1920","1080","2","299","18","1","FR","48.8833","2.2667"
"2","2","0","2","5","1","2","3","3","4","4","3","4","3","2","4","4","5","5","5","1","5","1","5","1","2","5","1","2","2","2","5","2","3","2","4","4","4","4","3","5","4","5","1","4","4","2","2","1","2","6614","3253","0","2948","2886","5788","7362","3486","5833","1864","9658","4485","1668","5530","2208","7753","3079","3923","3539","3557","3635","6331","2160","2254","3378","10014","2161","9255","4618","5679","6474","3144","6786","5788","8226","3362","4882","5530","2792","3688","3057","12574","2926","7642","5108","3307","5445","5451","6004","3237","2016-03-03 02:35:21","1536","864","6","243","10","1","GB","52.75","-3.8833"
"1","4","4","5","4","3","3","5","1","3","5","3","5","2","2","5","4","4","4","5","1","5","1","5","4","5","1","4","5","4","4","1","5","3","5","1","5","3","5","4","5","3","5","3","2","1","4","5","5","3","2232","2280","2384","1008","1904","7768","2480","1784","2416","5280","1104","2328","1560","1088","3824","1120","9264","3784","1784","1792","1872","768","2080","58608","1784","1232","1144","2272","1112","1640","2272","3656","808","2512","1744","2832","1904","2240","1568","1728","912","3448","824","2896","2176","2416","1416","2360","1120","1248","2016-03-03 02:38:28","1440","900","33","170","158","1","GB","51.5142","-0.0931"
"5","1","4","1","5","2","5","2","5","3","4","2","5","3","4","2","4","4","4","2","2","4","2","5","1","4","1","3","5","3","3","5","2","4","4","5","3","3","2","4","2","2","4","2","3","2","4","2","5","4","4281","3342","6485","2471","1508","3423","14518","3106","2496","2403","413","4440","2430","8096","2097","2445","1809","1681","1986","2490","5728","2780","663","5988","2905","762","1229","6650","555","3752","3204","2920","4362","913","2714","4655","1761","706","2065","2314","2875","4311","2032","655","2025","2319","1937","5424","2051","2366","2016-03-03 02:39:16","1024","768","4","156","14","1","TH","13.75","100.4667"
"3","2","3","4","2","2","3","4","3","4","3","4","3","5","4","2","3","1","3","1","3","3","1","3","4","4","4","2","2","4","2","4","2","2","2","2","2","3","2","2","5","1","5","1","5","1","5","5","4","5","4895","1838","2198","1184","3245","3606","1912","1882","2370","1283","1882","2040","1492","3966","3023","2256","1326","1845","5296","1988","4245","1281","2144","1680","1059","1914","1589","1658","4132","1665","1522","3262","3488","2604","2227","2910","1419","2078","442","2136","960","2716","1020","3466","1957","1426","1365","1777","3133","1096","2016-03-03 02:39:37","1920","1200","3","113","8","1","GB","52.2","0.1167"
"2","3","3","4","2","4","1","3","3","4","4","5","3","3","3","3","1","1","2","3","2","2","1","3","3","3","3","3","3","4","4","5","4","2","2","3","2","2","2","3","4","1","3","1","3","2","4","3","4","3","10603","9277","2348","4290","6426","2585","4728","2568","4965","2977","5427","4059","1300","3543","2943","2521","4115","1956","3006","1907","5022","2015","2626","3132","2197","1594","4290","3726","2854","3309","2790","4557","4844","4299","2756","13206","2112","5053","3800","2641","5582","5284","1924","5101","2602","3249","2059","4338","3978","1472","2016-03-03 02:40:14","1920","1080","15","196","9","1","GB","51.5","-0.13"
"5","1","5","2","5","1","5","2","4","2","2","4","3","3","4","2","2","2","2","3","1","5","3","5","1","5","1","5","4","5","2","5","3","2","1","4","1","1","2","5","5","1","4","1","4","1","5","4","4","4","9603","48568","4696","4296","2576","2631","4848","6216","4032","3424","3776","2304","2416","6464","4432","4384","2248","3832","5272","6656","2127","1671","1920","3368","2744","2584","2784","1872","2400","3223","2984","3000","2080","4944","1880","5775","2968","3856","2480","4272","2088","5736","2776","2424","2304","4168","4328","3912","2592","1184","2016-03-03 02:42:18","1440","900","4","224","12","3","GB","51.5","-0.13"
"2","3","3","4","3","3","1","4","2","3","5","2","5","3","4","3","5","4","3","3","2","4","2","4","3","4","3","4","3","3","4","4","4","3","1","2","4","3","3","3","3","3","4","4","3","3","2","2","4","3","5159","1848","2041","3896","2664","1288","2800","1344","1513","1392","2064","1640","2080","3712","2344","4471","1752","3576","3648","2320","1695","3024","5247","3064","9215","2536","4944","2128","2367","840","5568","8328","3480","3096","2312","4808","3768","1712","3336","1840","3944","2591","3656","4503","2648","4600","2688","1831","7176","1280","2016-03-03 02:42:39","1366","768","25","163","8","1","IT","42.8333","12.8333"
"3","4","3","4","4","2","2","2","4","4","1","2","4","2","4","4","4","4","3","3","1","4","2","4","2","5","2","4","4","4","4","2","2","2","4","2","4","2","4","4","5","2","4","2","4","2","5","4","4","3","23500","2497","2606","1670","2689","2904","2259","3471","1826","1788","1961","1964","1586","3430","4548","3660","2408","3444","5322","1718","1736","2869","3961","1109","8151","2532","3445","1606","1755","1696","1955","2538","3897","1463","1988","2625","1697","1954","1062","2711","2200","2665","1456","1090","709","1403","3199","1133","1558","3878","2016-03-03 02:43:01","1440","900","474","147","5","5","AU","-27.0","133.0"
"3","3","5","2","5","1","4","2","5","1","2","5","2","5","2","2","1","1","2","1","1","5","1","5","1","5","1","4","5","5","4","4","2","1","4","2","4","1","1","2","5","2","4","1","4","1","4","3","5","4","12691","22505","7508","7606","11117","9386","6952","13349","7415","9641","11334","7118","59585","6257","11234","6367","22432","6484","5826","5341","7316","7330","5292","7832","6118","5864","5149","5635","4851","7385","15252","16619","27054","5615","7185","9622","8084","4433","10109","9611","34802","16818","1286","9360","8782","8167","6720","20320","5633","4451","2016-03-03 02:43:12","768","1024","170","547","14","2","FR","44.737","2.1233"
